,, 忠孝復興站,   南港展覽館站,   松山機場站,   中山國中站,   南京復興站,   大安站,   科技大樓站,   六張犁站,   麟光站,   辛亥站,   萬芳醫院站,   萬芳社區站,   木柵站,   動物園站,   大直站,   劍南路站,   西湖站,   港墘站,   文德站,   內湖站,   大湖公園站,   葫洲站,   東湖站,   南港軟體園區站,   小碧潭站,   新店站,   新店市公所站,   七張站,   大坪林站,   景美站,  萬隆站,   公館站,   臺電大樓站,   古亭站,   中正紀念堂站,   頂溪站,   永安市場站,   景安站,   南勢角站,   小南門站,   臺大醫院站,   臺北車站,   中山站,   雙連站,   民權西路站,   圓山站,   劍潭站,   士林站,   芝山站,   明德站,   石牌站,   唭哩岸站,   奇岩站,   北投站,  新北投站,   復興崗站,   忠義站,   關渡站,   竹圍站,   紅樹林站,   淡水站,   頂埔站,  永寧站,   土城站,   海山站,   亞東醫院站,   府中站,   板橋站,   新埔站,   江子翠站,   龍山寺站,   西門站,   善導寺站,   忠孝新生站,   忠孝敦化站,   國父紀念館站,   市政府站,  永春站,   後山埤站,   昆陽站,   南港站,   大橋頭站,   中山國小站,   行天宮站,   松江南京站,   東門站,  蘆洲站,   三民高中站,   徐匯中學站,   三和國中站,   三重國小站,  輔大站,  新莊站,  頭前庄站,  先嗇宮,  三重站,  菜寮站,  臺北橋站,  迴龍站,  丹鳳站,  象山站,  世貿中心/台北101站,  信義安和站,  大安森林公園站,  北門站,  台北小巨蛋站,  南京三民站,  松山站
 100年, 進站人次,18688043,5580245,1553658,5495671,7219520,4959890,4889851,3818547,1339726,1049782,4489978,755041,1435632,2659947,2505057,3550999,3345406,3414345,1538423,2565218,869725,2138054,2107979,308163,606267,3725406,3429427,4881744,6085644,5252330,2711541,10454217,6507141,10024845,8747015,9563618,7133289,7316186,6067377,1541284,8454774,57322264,11086541,7442630,9960547,10609162,12926050,9546394,7075244,4166403,9555126,2448462,2684965,5639729,2147757,1171100,1041793,3815595,3374596,2491923,13449899,-,5401131,2140300,6326046,5068760,9190606,10547842,15254752,7996056,9317067,21344367,6397311,8511263,12743406,7734558,21312471,6855933,6718044,5787248,2836230,1942731,2490066,4113602,4436515,-,2811639,2975488,2674996,2841604,2971844,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
, 出站人次,18670142,5181827,1490635,5227422,7900188,5199829,4805834,3794990,1249422,986162,4687819,629179,1445785,2695325,2530034,3521751,3433946,3413231,1476919,2604772,860027,2153562,2205852,312792,654819,3395263,3554638,4608556,5962903,5179172,2577393,10339535,6379122,10109663,8776888,9941104,7077000,7148840,5767751,1675936,8691595,56156047,11515968,8035261,9630938,9813691,12827041,9596116,7160765,3964841,9928402,2245287,2137226,6032038,2047247,1155798,1061572,3971419,3394665,2554088,13113757,-,5291426,2129449,6265735,4313308,8968491,11111581,14507802,7973335,8899255,21636031,6822766,8514219,14153878,8452633,21788964,6756406,6671868,6187921,2442568,1799818,2624512,4473624,4756924,-,2776553,2961564,2721758,2758778,3058104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 101年, 進站人次,18795312,7762395,1716667,5243484,7156447,4964801,4918815,3949171,1346716,1061519,4536517,751331,1468995,2660069,2629837,3435284,3718559,3721790,1636069,2555979,932119,2345502,2447403,340705,580969,3948309,3510784,4911884,6194136,5298298,2822085,10581420,6138929,10491624,8728055,10010224,7454144,7584981,6334487,1545041,8473564,57792054,11279409,7645975,9284927,7802794,12720792,9533861,7537926,4246023,9863448,2537211,2756418,5781221,2317498,1223749,1009719,3958907,3484724,2594718,14118922,-,5431364,2241047,6533205,5425947,9241665,11924465,14011796,8157526,9582961,20839347,6675937,9774425,13851640,8188091,22644976,7113016,6996040,5317333,2895118,3064971,3670388,5723488,6575737,1469730,3368959,3429044,3317904,3292534,3224545,5562273,2623071,1271735,915822,905235,1937540,1986405,-,-,-,-,-,-,-,-,-,-
, 出站人次,18955480,7158463,1588994,5009954,7868068,5145859,4852389,3877151,1256200,1002521,4744334,620758,1477727,2705273,2673880,3426369,3843313,3759161,1575461,2552301,910285,2343442,2543656,346471,634477,3613455,3610742,4658406,6115819,5228723,2669103,10342638,6077611,10475947,8727650,10405417,7417419,7440347,6013383,1684654,8739480,56866584,11692481,8211372,8829032,7295045,12572483,9556540,7615206,4061962,10236671,2329428,2215293,6172857,2235153,1207594,1037187,4139901,3474232,2674449,13765136,-,5378126,2221828,6486019,4620927,9015986,12606738,12967821,8134841,9104888,21095653,7068753,9650772,15120162,9163382,23078487,6998847,7012286,5678583,2548145,2768135,3724300,6211551,7134885,1512601,3212283,3388089,3420010,3134113,3202771,5554396,2846487,1276754,862284,904469,1878435,2114802,-,-,-,-,-,-,-,-,-,-
 102年, 進站人次,19111141,9008315,1836070,5159971,7091331,5084962,4780242,3927139,1348429,1066952,4534619,746847,1460062,2768425,2749852,3648114,4001343,3930284,1678472,2540166,961885,2471714,2573301,391248,679800,4072915,3633271,5030781,6387895,5463835,2972506,10770610,6462327,11312754,8583393,11184274,8302285,8383273,6797459,1545093,8029453,57494736,10877894,7524831,8995662,8819109,12823326,9713317,7662647,4277853,9983502,2568674,2793086,5870607,2403525,1233578,980326,4146053,3506577,2588513,14690423,-,5212643,2289908,6637812,5782107,9423822,12323115,13910772,8189816,9651095,21621938,6845099,10669511,14148705,8531449,23581222,7170994,7153117,5157017,3231392,3678162,4634655,7406048,9025318,6489875,3663291,3717555,3645423,3532211,3463573,4999562,2974489,1588961,1096140,1115829,2440872,2341589,1164052,1138167,555604,1339040,600962,532537,-,-,-,-
, 出站人次,19278024,8431828,1726548,4931507,7834123,5277414,4741121,3895383,1254632,1011092,4750664,615740,1437220,2852986,2818509,3659328,4172934,3967379,1625426,2505559,938275,2467229,2653741,398057,732728,3709965,3722229,4761534,6311454,5398413,2801861,10374852,6548390,11111674,8609264,11559384,8273300,8217757,6584214,1685765,8305266,56570390,11206198,8055589,8483345,8473710,12563648,9733374,7786966,4095271,10374371,2365194,2263891,6285850,2307296,1221160,1010428,4361285,3542360,2553614,14344175,-,5202642,2264980,6604188,4948302,9177438,13096680,12856636,8189706,9149365,21846034,7225618,10382851,15375300,9587116,24059843,7060117,7190032,5426089,2871812,3172713,4643829,7950214,9798254,6738050,3430350,3674942,3765027,3349202,3445973,5095938,3211435,1579076,1040547,1085515,2326902,2444016,1142997,1007494,576601,1389834,634638,543316,-,-,-,-
 103年, 進站人次,18967725,10440090,1957390,5294712,7816743,6810041,4894197,3879124,1417495,1105361,4671972,788475,1491109,3243392,2877635,3807648,4475804,4208634,1781361,2658376,1093007,2591191,2711087,495743,741055,4188001,3771260,5213662,6735483,5512005,3106830,10779520,6877764,11420018,9488042,11698182,8764565,8765520,7066269,1913839,8115528,58668299,11687582,7726286,8964011,9570635,13244138,10226717,8106612,4346328,10237046,2619653,2884692,6028626,2513565,1248100,941442,4198834,3455459,2614141,14762892,-,5199962,2351721,6781790,6080407,9759520,12774825,14091212,8204848,9793728,23385630,7244952,10900756,13914713,8304809,20416791,6944045,6944902,5193387,3510036,4108694,5097330,8301634,10270006,7575703,3887218,3952320,3927330,3813006,3743388,3748781,3363616,1759182,1247245,1274315,2802114,2703318,2605239,2656214,2929051,9195555,4443801,2336030,288697,966755,902693,1246413
, 出站人次,19139143,9842584,1857025,5106823,8483470,6847795,4823317,3796503,1312300,1035229,4898605,643399,1462255,3353415,2950664,3817472,4684867,4210880,1717912,2625436,1054723,2569783,2787058,501588,787149,3813559,3857741,4961612,6584057,5483279,2934473,10460344,6893481,11240801,9581902,12039206,8751778,8590996,6873977,2048809,8570472,58190980,12105241,8275152,8471781,9295350,12876643,10313411,8302125,4145370,10639508,2412765,2352638,6456988,2395267,1233047,983945,4373359,3519483,2540450,14420300,-,5218978,2313966,6772135,5277305,9461264,13615216,12988652,8232716,9244145,23716266,7602624,10609185,15132029,9327951,20779078,6829759,6992628,5422887,3136319,3470473,5104553,8831753,11073960,7814436,3604237,3928263,4036679,3614539,3710314,4027819,3622073,1626017,1185737,1228284,2672765,2779957,2524865,2334065,2645394,9321935,4714700,2318327,299017,986212,932252,1243181
 104年, 進站人次,18198338,10300903,2052225,5340245,10841297,7406511,5010298,3892950,1455096,1116100,4735905,827258,1496119,2967605,3237958,3972544,4821360,4530990,1856773,2828407,1214462,2724972,2806697,1200524,792074,4322178,3880643,5479218,6975406,5578204,3280867,10752281,6827333,11193846,9946213,12084506,8970055,8834729,7270801,2493233,7569162,56502237,13053621,7516649,8572659,9691964,13430667,10456837,8310863,4312976,10316686,2657093,2968257,5996428,2593562,1246894,916640,4175025,3397716,2653185,14612262,1088269,4895214,2412169,6970586,6653007,10093575,13524814,14419634,8521906,10101561,25600566,7038409,11187934,13546131,7645451,20718933,6705338,6064887,4911556,4067259,4491432,5439007,8640620,11065550,8151319,4110368,4138453,4089591,4051236,3977533,3753610,3687844,1744543,1342471,1451725,3072501,2972860,2970811,2954484,3599580,10552116,5190734,2736756,2141669,6559804,6263555,6789405
, 出站人次,18450132,9748108,1941615,5188030,11382394,7502629,4919458,3810615,1347152,1036427,4936632,679263,1468174,3044382,3299642,4019345,5049691,4512517,1802851,2771019,1175326,2697329,2860152,1153195,834549,3864465,4034552,5252243,6794465,5565966,3095697,10484665,6900796,11127515,9909434,12397310,8986278,8602761,7078806,2628119,8029476,56541402,13429219,8050997,8093597,9625107,12982237,10631565,8450270,4115461,10731425,2460145,2443992,6435609,2469669,1223170,968832,4322316,3489233,2570229,14237028,1028148,4981894,2375424,6986841,5932751,9727495,14430866,13263561,8597630,9568356,25996825,7433989,10932739,14467127,8407575,21006961,6636153,6108639,5096387,3805116,3756860,5452338,9074712,11608206,8357374,3795231,4120666,4212804,3854639,3955988,4023932,3981735,1552628,1275088,1432600,2944152,3055519,2838810,2651221,3224520,10706955,5466718,2688813,2173041,6863568,6568518,6499492
 105年, 進站人次,18357355,10149424,2144107,5323635,11732485,7879228,5090994,3949387,1503463,1090304,4775981,842823,1462859,2893273,3273014,4095526,5011158,4640970,1887975,2888731,1239429,2760422,2811702,1448211,821627,4426834,3873068,5706159,7140332,5724649,3389078,10895782,6819029,11215085,10617993,12462648,9209997,8833340,7508684,2824867,7752364,57406129,13705168,7543821,8600924,9959000,13303230,10401476,8214213,4324432,10370590,2665474,3158244,5980473,2830397,1222066,924093,4222180,3370109,2516806,14582090,2512888,4066101,2462604,7191607,7057012,10354569,14188705,14528769,8795505,10460324,26176631,7257756,12097708,13733923,7590389,21250212,6781605,5923823,4781106,5011411,4715807,5753993,9198722,11630545,8769779,4370944,4250236,4169735,4249445,4125968,3776877,3785785,1795640,1416178,1597865,3323511,3242229,3177172,3165220,3851110,11276099,5573175,2965609,2721554,7261830,7081581,7730149
, 出站人次,18582417,9574813,2040165,5189059,12295065,7968352,4971276,3854968,1392700,1012334,4957557,694866,1454413,2967937,3325112,4161204,5243411,4644651,1820030,2816544,1203526,2742347,2855424,1370876,858264,3966201,4023238,5495609,6941559,5725412,3193177,10658225,6846520,11189953,10595155,12763987,9308142,8554386,7305679,2943727,8225597,57557623,14108914,8067148,8096955,10019617,12828719,10548542,8335098,4134610,10745855,2477910,2684194,6451337,2681895,1192407,969569,4345863,3451464,2418640,14212091,2359731,4240136,2406132,7243810,6350666,9926917,15103489,13420095,8907183,9940673,26585416,7576897,11927855,14548624,8263047,21558162,6729523,5932664,4997701,4837139,3944807,5790342,9559055,12177111,8956278,4034811,4250212,4297120,3939411,4118325,4015231,4105744,1571903,1348278,1595068,3207697,3317419,3023868,2867787,3456473,11476754,5875759,2882999,2772837,7631299,7446539,7392997
 106年, 進站人次,17806254,10104874,2060990,5209076,12278303,8172548,5066917,3958823,1528995,1095792,4728631,854013,1456484,2797509,3243678,4029931,5067523,4745328,1894980,2912459,1205986,2754505,2799173,1579081,838170,4530513,3774409,5792604,7248396,5723960,3411324,10868996,6750458,11000664,10522926,12601619,9244756,8774792,7570062,3005973,7692790,57556257,13849566,7612696,8469727,9702925,12938973,10232965,8175224,4343729,10364047,2675944,3248200,5985806,2463575,1232930,943668,4172300,3291863,2464485,14140076,2747269,4243901,2501087,7323191,7380614,10772513,14468166,14060178,8830999,10798366,26829931,7252583,11595880,13403925,7563378,21880747,6743881,5861072,4661264,5837721,4780880,5894129,9350029,11879399,8771719,4518285,4308973,4172205,4267114,4145322,3696253,3719696,1731437,1500791,2074114,3373339,3365230,3355960,3189362,4031810,11471130,5754242,3167044,3764133,7785389,7550268,8354774
, 出站人次,17961363,9452385,1977051,5112034,12924714,8292308,4918159,3857963,1416112,1025301,4902519,703297,1471026,2866749,3285971,4094280,5271882,4746324,1829698,2842918,1170116,2735503,2847467,1492308,873187,4049861,3978693,5610476,7070219,5754050,3256522,10675811,6689990,10954867,10452661,12884517,9326635,8533057,7316478,3088767,8100523,57430860,14222001,8142393,8036087,9765391,12484662,10373050,8329561,4166905,10737428,2489168,2786258,6414648,2330197,1216061,978962,4305523,3382013,2340038,13774118,2597436,4422545,2436048,7408978,6671924,9837292,15490838,13463259,8989000,10282826,27093911,7588933,11400682,14095572,8190617,22331866,6733162,5838907,4880300,5824972,3946538,5923877,9710481,12440191,8984542,4148350,4354842,4313766,4053725,4163893,3942892,4029975,1549548,1446112,2086714,3325929,3456297,3159083,2916045,3672514,11703941,6044929,3091978,3663557,8135904,7960026,7975111
 107年, 進站人次,17758453,10556558,2075055,5175220,12948312,8588624,5141615,4019714,1551505,1120953,4778863,892249,1482783,2839959,3330100,4066376,5275934,5135874,1928259,3159652,1233739,2804689,2860206,1676622,851174,4725986,3872068,5904054,7461658,6007996,3549999,10839686,6708579,11394314,10582768,12776770,9405078,8993787,7735191,3260110,7909270,57932779,14529574,7785594,8499234,10099562,12635293,10514627,8395523,4414154,10695851,2734266,3330714,6153636,2358223,1280115,1019193,4243541,3320374,2639848,14375721,2961368,4545957,2591967,7559052,8120326,11149543,15013049,14474676,9010655,11282310,27155469,7504468,11922423,13144484,7783914,22173529,6914137,5929101,4739258,6257561,4920095,6049043,9640002,12177961,8982454,4827068,4322623,4224150,4373311,4219785,3888114,3762970,1788879,1572376,2247030,3449004,3442381,3556991,3320776,4479945,11560339,6073132,3269250,4327789,8021175,7944307,8792606
, 出站人次,17833404,9881921,1991996,5093383,13695706,8675209,4992987,3938038,1443539,1043371,4975379,732347,1524222,2914752,3355058,4106967,5451569,5087487,1866019,3100802,1201076,2775529,2931054,1588439,886878,4189326,4131056,5751329,7257003,6052769,3399499,10619721,6652606,11352328,10451972,13164175,9508694,8731929,7518974,3325773,8274792,57539833,14971389,8318697,8135791,10134131,12277878,10574532,8512241,4252516,11085850,2556078,2873253,6581812,2236861,1270759,1039593,4371539,3445339,2537573,13925436,2818238,4728610,2536727,7649109,7390040,10143065,16109234,13945775,9227367,10786726,27354512,7813286,11745425,13765776,8428392,22701266,6950169,5899336,4968377,6315746,4089443,6066397,9992813,12712462,9187463,4431264,4370678,4401302,4162391,4249206,4113059,4069969,1624481,1534764,2267391,3399210,3538708,3339501,3042877,4122051,11762456,6404967,3185325,4246138,8369709,8340472,8392575
 108年, 進站人次,17554542,11056907,2134235,5160937,13388917,8859295,5216306,4096043,1624626,1137795,4726784,920476,1505355,2976268,3342608,4370474,5337318,5357695,1966180,3335302,1274941,2928222,2953953,1808454,1175566,4924815,4028843,6115163,7573177,6162698,3687794,10960768,6697772,11839165,10810764,13048812,9588769,9161345,7940668,3413429,8173487,58596308,15685662,8074391,8683962,10497855,12529506,10752431,8528563,4472613,10851408,2674797,3320081,6502146,2425455,1313968,1111153,4323933,3362609,3705644,14472026,3093174,4859647,2676232,7697457,8795910,11599492,15431724,14942869,9095877,11703409,28021574,7802451,12478453,12768222,8058457,22918425,7084156,6014623,4783943,6731368,5136693,6218328,10070060,12759451,9456006,5167189,4329197,4379442,4518600,4280696,3950474,3813387,1918325,1594225,2533464,3569929,3540614,3706781,3496991,4975425,12774960,6358823,3335696,4910743,8132062,8203502,9060748
, 出站人次,17620376,10363377,2044026,5082422,14175256,8895788,5048206,4009890,1518282,1063193,4955870,744769,1561222,3045300,3367772,4437983,5497713,5287254,1910951,3278281,1238799,2900911,3027637,1727473,1223764,4334631,4328408,5982851,7385181,6221183,3541385,10683673,6645947,11789483,10670179,13481169,9752318,8940430,7754299,3478480,8516877,58018791,16175896,8595742,8374769,10584636,12112395,10831768,8593000,4325451,11240924,2494589,2856901,6946372,2302274,1306497,1136776,4409363,3503817,4072011,13571505,2936342,5010919,2631584,7777414,8043072,10506112,16646188,14379777,9346404,11242912,28297655,8093456,12301991,13307828,8703301,23497857,7098530,5990333,4996530,6867475,4310013,6219435,10372629,13253324,9646413,4731585,4401348,4574981,4315094,4329358,4209450,4075882,1767259,1560068,2545414,3529864,3625554,3480557,3195226,4557783,13063997,6717227,3235227,4860405,8488097,8573283,8668814
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
